infinitive,je|present,tu|present,il_elle_on|present,nous|present,vous|present,ils_elles|present,je|past,tu|past,il_elle_on|past,nous|past,vous|past,ils_elles|past,je|future,tu|future,il_elle_on|future,nous|future,vous|future,ils_elles|future
accroupir,accroupis,accroupis,accroupit,accroupissons,accroupissez,accroupissent,accroupissais,accroupissais,accroupissait,accroupissions,accroupissiez,accroupissaient,accroupirai,accroupiras,accroupira,accroupirons,accroupirez,accroupiront
abstraire,abstrais,abstrais,abstrait,abstrayons,abstrayez,abstraient,abstrayais,abstrayais,abstrayait,abstrayions,abstrayiez,abstrayaient,abstrairai,abstrairas,abstraira,abstrairons,abstrairez,abstrairont
achalander,achalande,achalandes,achalande,achalandons,achalandez,achalandent,achalandais,achalandais,achalandait,achalandions,achalandiez,achalandaient,achalanderai,achalanderas,achalandera,achalanderons,achalanderez,achalanderont
agenouiller,agenouille,agenouilles,agenouille,agenouillons,agenouillez,agenouillent,agenouillais,agenouillais,agenouillait,agenouillions,agenouilliez,agenouillaient,agenouillerai,agenouilleras,agenouillera,agenouillerons,agenouillerez,agenouilleront
abréger,abrège,abrèges,abrège,abrégeons,abrégez,abrègent,abrégeais,abrégeais,abrégeait,abrégions,abrégiez,abrégeaient,abrègerai;abrégerai,abrègeras;abrégeras,abrègera;abrégera,abrègerons;abrégerons,abrègerez;abrégerez,abrègeront;abrégeront
acheter,achète,achètes,achète,achetons,achetez,achètent,achetais,achetais,achetait,achetions,achetiez,achetaient,achèterai,achèteras,achètera,achèterons,achèterez,achèteront
aigrir,aigris,aigris,aigrit,aigrissons,aigrissez,aigrissent,aigrissais,aigrissais,aigrissait,aigrissions,aigrissiez,aigrissaient,aigrirai,aigriras,aigrira,aigrirons,aigrirez,aigriront
accroître,accroîs,accroîs,accroît,accroissons,accroissez,accroissent,accroissais,accroissais,accroissait,accroissions,accroissiez,accroissaient,accroîtrai,accroîtras,accroîtra,accroîtrons,accroîtrez,accroîtront
aider,aide,aides,aide,aidons,aidez,aident,aidais,aidais,aidait,aidions,aidiez,aidaient,aiderai,aideras,aidera,aiderons,aiderez,aideront
absconser,absconse,absconses,absconse,absconsons,absconsez,absconsent,absconsais,absconsais,absconsait,absconsions,absconsiez,absconsaient,absconserai,absconseras,absconsera,absconserons,absconserez,absconseront
abroutir,abroutis,abroutis,abroutit,abroutissons,abroutissez,abroutissent,abroutissais,abroutissais,abroutissait,abroutissions,abroutissiez,abroutissaient,abroutirai,abroutiras,abroutira,abroutirons,abroutirez,abroutiront
achaler,achale,achales,achale,achalons,achalez,achalent,achalais,achalais,achalait,achalions,achaliez,achalaient,achalerai,achaleras,achalera,achalerons,achalerez,achaleront
accoutumer,accoutume,accoutumes,accoutume,accoutumons,accoutumez,accoutument,accoutumais,accoutumais,accoutumait,accoutumions,accoutumiez,accoutumaient,accoutumerai,accoutumeras,accoutumera,accoutumerons,accoutumerez,accoutumeront
alanguir,alanguis,alanguis,alanguit,alanguissons,alanguissez,alanguissent,alanguissais,alanguissais,alanguissait,alanguissions,alanguissiez,alanguissaient,alanguirai,alanguiras,alanguira,alanguirons,alanguirez,alanguiront
adjurer,adjure,adjures,adjure,adjurons,adjurez,adjurent,adjurais,adjurais,adjurait,adjurions,adjuriez,adjuraient,adjurerai,adjureras,adjurera,adjurerons,adjurerez,adjureront
aggraver,aggrave,aggraves,aggrave,aggravons,aggravez,aggravent,aggravais,aggravais,aggravait,aggravions,aggraviez,aggravaient,aggraverai,aggraveras,aggravera,aggraverons,aggraverez,aggraveront
affiner,affine,affines,affine,affinons,affinez,affinent,affinais,affinais,affinait,affinions,affiniez,affinaient,affinerai,affineras,affinera,affinerons,affinerez,affineront
adosser,adosse,adosses,adosse,adossons,adossez,adossent,adossais,adossais,adossait,adossions,adossiez,adossaient,adosserai,adosseras,adossera,adosserons,adosserez,adosseront
ajuster,ajuste,ajustes,ajuste,ajustons,ajustez,ajustent,ajustais,ajustais,ajustait,ajustions,ajustiez,ajustaient,ajusterai,ajusteras,ajustera,ajusterons,ajusterez,ajusteront
actionner,actionne,actionnes,actionne,actionnons,actionnez,actionnent,actionnais,actionnais,actionnait,actionnions,actionniez,actionnaient,actionnerai,actionneras,actionnera,actionnerons,actionnerez,actionneront
admonester,admoneste,admonestes,admoneste,admonestons,admonestez,admonestent,admonestais,admonestais,admonestait,admonestions,admonestiez,admonestaient,admonesterai,admonesteras,admonestera,admonesterons,admonesterez,admonesteront
alcooliser,alcoolise,alcoolises,alcoolise,alcoolisons,alcoolisez,alcoolisent,alcoolisais,alcoolisais,alcoolisait,alcoolisions,alcoolisiez,alcoolisaient,alcooliserai,alcooliseras,alcoolisera,alcooliserons,alcooliserez,alcooliseront
alentir,alentis,alentis,alentit,alentissons,alentissez,alentissent,alentissais,alentissais,alentissait,alentissions,alentissiez,alentissaient,alentirai,alentiras,alentira,alentirons,alentirez,alentiront
