q_id,question_stem,img,correct,option1,option2,option3,option4,,
sectionateam4.csv/3_3,Avoid suspicious people on your way home,sectionateam4/image23.jpg,4,Do you want to meet other shuttle riders and are unsure of who also wants to talk?,Do you need exact navigation to classrooms on campus?,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,Have you ever worried about suspicious individuals on your walk home?,yes,
sectionateam4.csv/2_3,For company on walk home to increase feeling of safety,sectionateam4/image20.jpeg,2,Do you go through a series of decisions on what kind of transportation to take and when to leave to board on time?,How much would you value a service to keep you safe on your walk home?,Do you want to avoid suspicious individuals on your walk home?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,yes,
csv/Supawat's storyboard_2,Meaningful waiting experience,sectionateam2/image12.jpeg,1,Have you ever felt wating is boring and a waste of your time?,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,Have you ever search for a shuttle route and stop near your home? would you ever want to just search your destination and get the results?,Have you ever had uncomfortable experience waiting for transportation?,yes,
sectionateam2.csv/Crystal's storyboard_3,More comfortable transportation experience,sectionateam2/image10.jpeg,3,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever experienced feeling your waiting experience meaningless?,Have you ever had uncomfortable experience waiting for transportation?,Have you ever had to check your phone constantly for bus arrival time?,yes,
sectionateam2.csv/Cathy's storyboard_1,More accessible transportation info,sectionateam2/image5.jpeg,2,Have you ever search for a shuttle route and stop near your home? would you ever want to just search your destination and get the results?,Have you ever had to check your phone constantly for bus arrival time?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever had uncomfortable experience waiting for transportation?,yesyes,
sectionateam1.csv/1_3,Users need specific transpoortation accomodations that are independent on the time of the day (morning vs night),sectionateam1/image3.jpg,3,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever felt like yoou needed to use a diffeerent transportation method in the morning compared to a transpoortation method used at night?,"Have you ever tried using the shuttle service, but while doing so had trouble figuring out which is the best route to take? would you like a better way to find a way to find the best route, so that you could be confident with the results you find?",yes,
sectionateam2.csv/Andrew's storyboard_3,Decrease decisions required for optimizing the plan.,sectionateam2/image4.jpeg,2,Do you need exact navigation to classrooms on campus?,Do you go through a series of decisions on what kind of transportation to take and when to leave to board on time?,Do you want to meet other shuttle riders and are unsure of who also wants to talk?,Do you consider golf cars as a useful way to commute on campus?,,
sectionateam2.csv/Andrew's storyboard_2,Decrease decisions required for optimizing the plan.,sectionateam2/image3.jpeg,1,Do you go through a series of decisions on what kind of transportation to take and when to leave to board on time?,Do you need exact navigation to classrooms on campus?,Do you want to meet other shuttle riders and are unsure of who also wants to talk?,Do you consider golf cars as a useful way to commute on campus?,,
sectionateam2.csv/Andrew's storyboard_1,Decrease decisions required for optimizing the plan.,sectionateam2/image2.jpeg,3,Do you need exact navigation to classrooms on campus?,Do you consider golf cars as a useful way to commute on campus?,Do you go through a series of decisions on what kind of transportation to take and when to leave to board on time?,Do you want to meet other shuttle riders and are unsure of who also wants to talk?,,
sectionateam3.csv/5_3,Safety of taking the transportation during night.,sectionateam3/image17.png,1,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,,
